date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit,revenue_growth_rate,profit_growth_rate,rolling_avg_revenue_7d,rolling_avg_revenue_30d
2022-01-15,Saturday,January,2022,Q1,28437,25190,38518,-10081,-35.45,17878999,5693990,-33.215124471582904,-228.15916603101957,40513.28571428572,50973.13333333333
2022-01-16,Sunday,January,2022,Q1,28304,29482,37541,-9237,-32.63,17907303,5684753,-0.4677005309983495,-8.372185299077472,41135.0,49364.13333333333
2022-01-17,Monday,January,2022,Q1,45293,48766,34713,10580,23.36,17952596,5695333,60.02331825890332,-214.53935260365918,41205.71428571428,49466.2
2022-01-18,Tuesday,January,2022,Q1,51440,49567,37191,14249,27.7,18004036,5709582,13.57163358576381,34.678638941398866,41654.28571428572,49820.3
2022-01-19,Wednesday,January,2022,Q1,49960,53362,39780,10180,20.38,18053996,5719762,-2.8771384136858424,-28.5563899220998,42661.142857142855,49293.5
2022-01-20,Thursday,January,2022,Q1,46121,54909,36541,9580,20.77,18100117,5729342,-7.6841473178542845,-5.893909626719052,41733.57142857143,48398.86666666667
2022-01-21,Friday,January,2022,Q1,53277,54810,33218,20059,37.65,18153394,5749401,15.515708679343465,109.38413361169101,43261.71428571428,47985.2
2022-01-22,Saturday,January,2022,Q1,25999,26273,39728,-13729,-52.81,18179393,5735672,-51.200330348931054,-168.44309287601575,42913.42857142857,46628.833333333336
2022-01-23,Sunday,January,2022,Q1,30389,35799,32678,-2289,-7.53,18209782,5733383,16.88526481787762,-83.32726345691601,43211.28571428572,45164.7
2022-01-24,Monday,January,2022,Q1,46345,48197,35832,10513,22.68,18256127,5743896,52.50584092928363,-559.2835299257317,43361.57142857143,45664.63333333333
2022-01-25,Tuesday,January,2022,Q1,47630,46900,32780,14850,31.18,18303757,5758746,2.7726831373395155,41.25368591267955,42817.28571428572,45766.166666666664
2022-01-26,Wednesday,January,2022,Q1,54495,48158,33628,20867,38.29,18358252,5779613,14.413184967457493,40.51851851851851,43465.142857142855,45080.13333333333
2022-01-27,Thursday,January,2022,Q1,40606,40232,35777,4829,11.89,18398858,5784442,-25.48674190292688,-76.8581971534001,42677.28571428572,44211.96666666667
2022-01-28,Friday,January,2022,Q1,42324,45744,38754,3570,8.43,18441182,5788012,4.230901837166923,-26.07165044522676,41112.57142857143,43237.5
2022-01-29,Saturday,January,2022,Q1,23894,27788,33866,-9972,-41.73,18465076,5778040,-43.54503355070409,-379.327731092437,40811.857142857145,41577.3
2022-01-30,Sunday,January,2022,Q1,32661,28880,33938,-1277,-3.91,18497737,5776763,36.69121955302585,-87.19414360208584,41136.42857142857,40076.0
2022-01-31,Monday,January,2022,Q1,37337,37859,36893,444,1.19,18535074,5777207,14.31676923547962,-134.76898981989035,39849.57142857143,40275.96666666667
2022-02-01,Tuesday,February,2022,Q1,40586,46061,33055,7531,18.56,18575660,5784738,8.70182392800707,1596.1711711711712,38843.28571428572,40881.933333333334
2022-02-02,Wednesday,February,2022,Q1,40240,37280,34503,5737,14.26,18615900,5790475,-0.8525107179815694,-23.821537644403136,36806.857142857145,40731.73333333333
2022-02-03,Thursday,February,2022,Q1,48559,51003,36855,11704,24.1,18664459,5802179,20.67345924453281,104.00906397071638,37943.0,40686.333333333336
2022-02-04,Friday,February,2022,Q1,48159,55319,34757,13402,27.83,18712618,5815581,-0.8237401923433363,14.507860560492137,38776.57142857143,40870.76666666667
2022-02-05,Saturday,February,2022,Q1,23558,19568,33928,-10370,-44.02,18736176,5805211,-51.08287132207895,-177.37651096851215,38728.57142857143,40348.1
2022-02-06,Sunday,February,2022,Q1,26697,22564,33948,-7251,-27.16,18762873,5797960,13.324560658799566,-30.077145612343305,37876.57142857143,39794.26666666667
2022-02-07,Monday,February,2022,Q1,48672,58725,36149,12523,25.73,18811545,5810483,82.31261939543768,-272.7072127982347,39495.857142857145,40537.96666666667
2022-02-08,Tuesday,February,2022,Q1,45098,36523,32671,12427,27.56,18856643,5822910,-7.343030900723213,-0.7665894753653313,40140.42857142857,41242.833333333336
2022-02-09,Wednesday,February,2022,Q1,54534,54625,37563,16971,31.12,18911177,5839881,20.923322542019605,36.56554276977548,42182.42857142857,41567.36666666667
2022-02-10,Thursday,February,2022,Q1,45792,36358,38116,7676,16.76,18956969,5847557,-16.030366376939153,-54.76990159684168,41787.142857142855,41483.76666666667
2022-02-11,Friday,February,2022,Q1,46691,40321,37982,8709,18.65,19003660,5856266,1.9632250174703048,13.457529963522674,41577.42857142857,41609.73333333333
2022-02-12,Saturday,February,2022,Q1,23329,20271,38567,-15238,-65.32,19026989,5841028,-50.035338716240815,-274.9684234699736,41544.71428571428,40633.566666666666
2022-02-13,Sunday,February,2022,Q1,22539,24626,39773,-17234,-76.46,19049528,5823794,-3.3863431780187803,13.098831867699179,40950.71428571428,39965.53333333333
2022-02-14,Monday,February,2022,Q1,50624,48850,35860,14764,29.16,19100152,5838558,124.60623807622343,-185.66786584658232,41229.57142857143,40705.1
2022-02-15,Tuesday,February,2022,Q1,44878,55226,34319,10559,23.53,19145030,5849117,-11.350347661188366,-28.481441343809266,41198.142857142855,41257.566666666666
2022-02-16,Wednesday,February,2022,Q1,43251,47519,33805,9446,21.84,19188281,5858563,-3.625384375417795,-10.540770906335828,39586.28571428572,41189.5
2022-02-17,Thursday,February,2022,Q1,40607,32950,34638,5969,14.7,19228888,5864532,-6.113153453099351,-36.80923142070718,38845.57142857143,40828.4
2022-02-18,Friday,February,2022,Q1,49754,44501,38818,10936,21.98,19278642,5875468,22.525672913537065,83.21326855419669,39283.142857142855,40821.53333333333
2022-02-19,Saturday,February,2022,Q1,23131,28195,39258,-16127,-69.72,19301773,5859341,-53.509265586686496,-247.46708119970737,39254.857142857145,40055.2
2022-02-20,Sunday,February,2022,Q1,23480,26244,37756,-14276,-60.8,19325253,5845065,1.5087977173490197,-11.477646183419111,39389.28571428572,39061.96666666667
2022-02-21,Monday,February,2022,Q1,49242,49414,34549,14693,29.84,19374495,5859758,109.71890971039184,-202.92098627066406,39191.857142857145,39836.73333333333
2022-02-22,Tuesday,February,2022,Q1,48458,53554,36338,12120,25.01,19422953,5871878,-1.592136793793919,-17.511740284489207,39703.28571428572,40439.03333333333
2022-02-23,Wednesday,February,2022,Q1,43590,50552,32620,10970,25.17,19466543,5882848,-10.045812868876137,-9.48844884488449,39751.71428571428,40347.2
2022-02-24,Thursday,February,2022,Q1,50249,50224,35197,15052,29.95,19516792,5897900,15.27643955035558,37.21057429352781,41129.142857142855,40434.5
2022-02-25,Friday,February,2022,Q1,40808,38516,34548,6260,15.34,19557600,5904160,-18.788433600668675,-58.41084241296838,39851.142857142855,39978.26666666667
2022-02-26,Saturday,February,2022,Q1,28460,29170,35092,-6632,-23.3,19586060,5897528,-30.25877278964909,-205.94249201277952,40612.42857142857,39573.4
2022-02-27,Sunday,February,2022,Q1,23179,25706,33502,-10323,-44.54,19609239,5887205,-18.555867884750533,55.654402895054275,40569.42857142857,38935.23333333333
2022-02-28,Monday,February,2022,Q1,36812,42259,37591,-779,-2.12,19646051,5886426,58.81616980887871,-92.45374406664729,38793.71428571428,39365.833333333336
2022-03-01,Tuesday,March,2022,Q1,49656,56934,37344,12312,24.79,19695707,5898738,34.89079647940889,-1680.4878048780488,38964.857142857145,39932.333333333336
2022-03-02,Wednesday,March,2022,Q1,66787,57251,34815,31972,47.87,19762494,5930710,34.49935556629611,159.68161143599738,42278.71428571428,40914.0
2022-03-03,Thursday,March,2022,Q1,61076,62756,36056,25020,40.97,19823570,5955730,-8.551065327084617,-21.744026022769923,43825.42857142857,41597.0
2022-03-04,Friday,March,2022,Q1,61639,50509,38522,23117,37.5,19885209,5978847,0.9218023446198265,-7.605915267785768,46801.28571428572,42310.3
2022-03-05,Saturday,March,2022,Q1,29424,24087,37896,-8472,-28.79,19914633,5970375,-52.26398870844757,-136.64835402517627,46939.0,41672.46666666667
2022-03-06,Sunday,March,2022,Q1,39757,34915,38059,1698,4.27,19954390,5972073,35.11759108210983,-120.04249291784703,49307.28571428572,41392.4
2022-03-07,Monday,March,2022,Q1,49285,47434,37311,11974,24.3,20003675,5984047,23.96559096511306,605.1825677267374,51089.142857142855,42249.96666666667
2022-03-08,Tuesday,March,2022,Q1,60445,51556,37576,22869,37.83,20064120,6006916,22.643806431977275,90.98880908635377,52630.42857142857,43374.9
2022-03-09,Wednesday,March,2022,Q1,48310,53664,35384,12926,26.76,20112430,6019842,-20.07610224170734,-43.478070750798025,49990.857142857145,43362.833333333336
2022-03-10,Thursday,March,2022,Q1,49216,42961,36611,12605,25.61,20161646,6032447,1.8753881184019772,-2.483366857496516,48296.57142857143,43500.1
2022-03-11,Friday,March,2022,Q1,63916,71178,37372,26544,41.53,20225562,6058991,29.8683355006502,110.58310194367316,48621.857142857145,43812.833333333336
2022-03-12,Saturday,March,2022,Q1,34631,37285,32997,1634,4.72,20260193,6060625,-45.81794855748169,-93.84418324291742,49365.71428571428,43440.8
2022-03-13,Sunday,March,2022,Q1,34429,29094,36905,-2476,-7.19,20294622,6058149,-0.583292425861226,-251.52998776009792,48604.57142857143,43032.066666666666
2022-03-14,Monday,March,2022,Q1,68698,77654,38839,29859,43.46,20363320,6088008,99.53527549449592,-1305.9369951534734,51377.857142857145,44544.36666666667
2022-03-15,Tuesday,March,2022,Q1,61707,71290,52608,9099,14.75,20425027,6097107,-10.176424350053859,-69.52677584647844,51558.142857142855,45849.96666666667
2022-03-16,Wednesday,March,2022,Q1,50962,62249,35485,15477,30.37,20475989,6112584,-17.41293532338308,70.09561490273657,51937.0,45861.23333333333
2022-03-17,Thursday,March,2022,Q1,63643,61094,37243,26400,41.48,20539632,6138984,24.8832463404105,70.57569296375266,53998.0,46486.73333333333
2022-03-18,Friday,March,2022,Q1,47922,41529,39661,8261,17.24,20587554,6147245,-24.701852521094224,-68.70833333333333,51713.142857142855,46642.433333333334
2022-03-19,Saturday,March,2022,Q1,35692,40041,37262,-1570,-4.4,20623246,6145675,-25.520637702933936,-119.00496307953033,51864.71428571428,46478.6
2022-03-20,Sunday,March,2022,Q1,40757,35563,39301,1456,3.57,20664003,6147131,14.190855093578403,-192.7388535031847,52768.71428571428,46178.7
2022-03-21,Monday,March,2022,Q1,47265,51201,52867,-5602,-11.85,20711268,6141529,15.967809210687744,-484.75274725274727,49706.857142857145,46983.166666666664
2022-03-22,Tuesday,March,2022,Q1,49768,58921,38275,11493,23.09,20761036,6153022,5.29567333121761,-305.1588718314888,48001.28571428572,47859.433333333334
2022-03-23,Wednesday,March,2022,Q1,48919,53161,39024,9895,20.23,20809955,6162917,-1.7059154476772198,-13.904115548594797,47709.42857142857,47848.666666666664
2022-03-24,Thursday,March,2022,Q1,64563,56115,37763,26800,41.51,20874518,6189717,31.97939450929086,170.84386053562403,47840.857142857145,48385.5
2022-03-25,Friday,March,2022,Q1,56469,53307,36709,19760,34.99,20930987,6209477,-12.53659216579155,-26.268656716417915,49061.857142857145,48814.8
2022-03-26,Saturday,March,2022,Q1,29020,30543,34257,-5237,-18.05,20960007,6204240,-48.60897129398432,-126.50303643724696,48108.71428571428,48107.166666666664
2022-03-27,Sunday,March,2022,Q1,39508,35370,35377,4131,10.46,20999515,6208371,36.14059269469332,-178.88103876265035,47930.28571428572,48063.833333333336
2022-03-28,Monday,March,2022,Q1,65722,69889,37968,27754,42.23,21065237,6236125,66.35111876075732,571.8470104091019,50567.0,49305.9
2022-03-29,Tuesday,March,2022,Q1,55573,59086,33166,22407,40.32,21120810,6258532,-15.44231764097258,-19.265691431865672,51396.28571428572,50385.7
2022-03-30,Wednesday,March,2022,Q1,66744,59954,39712,27032,40.5,21187554,6285564,20.10148813272632,20.640871156335084,53942.71428571428,51383.433333333334
2022-03-31,Thursday,March,2022,Q1,77138,72848,34973,42165,54.66,21264692,6327729,15.572935394941867,55.9817993489198,55739.142857142855,52299.5
2022-04-01,Friday,April,2022,Q2,58967,55008,35963,23004,39.01,21323659,6350733,-23.556483185978372,-45.44290288153682,56096.0,52038.833333333336
2022-04-02,Saturday,April,2022,Q2,58465,53398,38112,20353,34.81,21382124,6371086,-0.851323621686706,-11.524082768214228,60302.42857142857,51951.8
2022-04-03,Sunday,April,2022,Q2,53181,51609,38957,14224,26.75,21435305,6385310,-9.03788591464979,-30.113496781801206,62255.71428571428,51669.86666666667
2022-04-04,Monday,April,2022,Q2,65527,68651,36441,29086,44.39,21500832,6414396,23.21505800943946,104.48537682789652,62227.857142857145,52873.3
2022-04-05,Tuesday,April,2022,Q2,47377,57996,33276,14101,29.76,21548209,6428497,-27.69850595937553,-51.51963143780514,61057.0,53127.3
2022-04-06,Wednesday,April,2022,Q2,57954,61811,39663,18291,31.56,21606163,6446788,22.325178884268748,29.714204666335718,59801.28571428572,53416.26666666667
2022-04-07,Thursday,April,2022,Q2,49070,52996,36716,12354,25.18,21655233,6459142,-15.329399178658932,-32.45858618992947,55791.57142857143,53037.1
2022-04-08,Friday,April,2022,Q2,51445,45665,38404,13041,25.35,21706678,6472183,4.840024454860403,5.560951918406998,54717.0,53141.6
2022-04-09,Saturday,April,2022,Q2,31989,27834,34071,-2082,-6.51,21738667,6470101,-37.81903003207309,-115.9650333563377,50934.71428571428,52567.36666666667
2022-04-10,Sunday,April,2022,Q2,29744,25663,35547,-5803,-19.51,21768411,6464298,-7.018037450373571,178.72238232468777,47586.57142857143,51428.3
2022-04-11,Monday,April,2022,Q2,50775,45780,33471,17304,34.08,21819186,6481602,70.70669714900484,-398.1905910735826,45479.142857142855,51966.433333333334
2022-04-12,Tuesday,April,2022,Q2,65006,66901,38658,26348,40.53,21884192,6507950,28.027572624322982,52.2653721682848,47997.57142857143,52985.666666666664
2022-04-13,Wednesday,April,2022,Q2,51709,48790,37508,14201,27.46,21935901,6522151,-20.455034919853553,-46.10217094276605,47105.42857142857,52419.36666666667
2022-04-14,Thursday,April,2022,Q2,46714,44712,38022,8692,18.61,21982615,6530843,-9.659827109400688,-38.793042743468774,46768.857142857145,51919.6
2022-04-15,Friday,April,2022,Q2,64489,52503,38618,25871,40.12,22047104,6556714,38.05069144153788,197.64150943396226,48632.28571428572,52370.5
2022-04-16,Saturday,April,2022,Q2,38966,37456,37273,1693,4.34,22086070,6558407,-39.577292251391704,-93.45599319701596,49629.0,51547.933333333334
2022-04-17,Sunday,April,2022,Q2,38815,30023,39141,-326,-0.84,22124885,6558081,-0.38751732279422857,-119.25575900767869,50924.857142857145,51244.36666666667
2022-04-18,Monday,April,2022,Q2,66816,74344,32911,33905,50.74,22191701,6591986,72.13963673837434,-10500.306748466259,53216.42857142857,52281.833333333336
2022-04-19,Tuesday,April,2022,Q2,59199,66114,32816,26383,44.57,22250900,6618369,-11.399964080459768,-22.18551836012388,52386.857142857145,52896.566666666666
2022-04-20,Wednesday,April,2022,Q2,50938,43582,39002,11936,23.43,22301838,6630305,-13.954627611952908,-54.75874616230148,52276.71428571428,53019.0
2022-04-21,Thursday,April,2022,Q2,51653,47002,36592,15061,29.16,22353491,6645366,1.403667203266723,26.181300268096507,52982.28571428572,53081.833333333336
2022-04-22,Friday,April,2022,Q2,49156,44910,36412,12744,25.93,22402647,6658110,-4.83418194490155,-15.384104641126084,50791.857142857145,53089.73333333333
2022-04-23,Saturday,April,2022,Q2,38568,47418,35204,3364,8.72,22441215,6661474,-21.539588249654162,-73.60326428123038,50735.0,52223.23333333333
2022-04-24,Sunday,April,2022,Q2,40194,39783,33905,6289,15.65,22481409,6667763,4.215930304915982,86.95005945303211,50932.0,51680.73333333333
2022-04-25,Monday,April,2022,Q2,66602,70755,39786,26816,40.26,22548011,6694579,65.70134845996915,326.39529336937517,50901.42857142857,52933.46666666667
2022-04-26,Tuesday,April,2022,Q2,68990,78788,37361,31629,45.85,22617001,6726208,3.585477913576174,17.94823985680192,52300.142857142855,53916.2
2022-04-27,Wednesday,April,2022,Q2,67096,57916,34192,32904,49.04,22684097,6759112,-2.7453254094796375,4.03111068955706,54608.42857142857,53962.0
2022-04-28,Thursday,April,2022,Q2,54160,63632,33878,20282,37.45,22738257,6779394,-19.27983784428282,-38.36007780209093,54966.57142857143,53914.9
2022-04-29,Friday,April,2022,Q2,62045,68907,37678,24367,39.27,22800302,6803761,14.558714918759241,20.141011734542946,56807.857142857145,53758.26666666667
2022-04-30,Saturday,April,2022,Q2,35370,32469,38989,-3619,-10.23,22835672,6800142,-42.992988959626075,-114.85205400746912,56351.0,52366.0
2022-05-01,Sunday,May,2022,Q2,66478,54095,34187,32291,48.57,22902150,6832433,87.95024031665253,-992.2630560928433,60105.857142857145,52616.36666666667
2022-05-02,Monday,May,2022,Q2,50633,44085,39259,11374,22.46,22952783,6843807,-23.834952916754414,-64.77656312904526,57824.57142857143,52355.3
2022-05-03,Tuesday,May,2022,Q2,46503,50121,38212,8291,17.83,22999286,6852098,-8.156735725712483,-27.105679620186386,54612.142857142855,52132.7
2022-05-04,Wednesday,May,2022,Q2,68092,67506,35468,32624,47.91,23067378,6884722,46.424961830419555,293.4869135206851,54754.42857142857,52218.2
2022-05-05,Thursday,May,2022,Q2,49138,44308,38339,10799,21.98,23116516,6895521,-27.83586911825178,-66.89860225600785,54037.0,52276.9
2022-05-06,Friday,May,2022,Q2,50006,60531,39331,10675,21.35,23166522,6906196,1.7664536611176729,-1.1482544680062934,52317.142857142855,52011.96666666667
2022-05-07,Saturday,May,2022,Q2,35727,30486,37590,-1863,-5.21,23202249,6904333,-28.55457345118586,-117.4519906323185,52368.142857142855,51567.2
2022-05-08,Sunday,May,2022,Q2,40693,47476,39806,887,2.18,23242942,6905220,13.899851652811602,-147.61137949543746,48684.57142857143,51208.8
2022-05-09,Monday,May,2022,Q2,59854,73203,34202,25652,42.86,23302796,6930872,47.08672253213084,2791.9954904171364,50001.857142857145,52137.63333333333
2022-05-10,Tuesday,May,2022,Q2,49234,52649,39719,9515,19.33,23352030,6940387,-17.74317505931099,-62.907375643224704,50392.0,52787.3
2022-05-11,Wednesday,May,2022,Q2,48040,52779,39026,9014,18.76,23400070,6949401,-2.4251533493114485,-5.265370467682606,47527.42857142857,52696.13333333333
2022-05-12,Thursday,May,2022,Q2,51739,41752,68677,-16938,-32.74,23451809,6932463,7.6998334721065875,-287.9076991346794,47899.0,52253.9
2022-05-13,Friday,May,2022,Q2,55652,47809,38990,16662,29.94,23507461,6949125,7.562960242756911,-198.3705278072972,48705.57142857143,52385.333333333336
2022-05-14,Saturday,May,2022,Q2,39037,43885,38095,942,2.41,23546498,6950067,-29.8551714224107,-94.3464169967591,49178.42857142857,52129.433333333334
2022-05-15,Sunday,May,2022,Q2,38628,29910,34494,4134,10.7,23585126,6954201,-1.0477239541972994,338.8535031847134,48883.42857142857,51267.4
2022-05-16,Monday,May,2022,Q2,66422,54972,39426,26996,40.64,23651548,6981197,71.95298747022885,553.0237058538946,49821.71428571428,52182.6
2022-05-17,Tuesday,May,2022,Q2,68661,81085,35727,32934,47.97,23720209,7014131,3.3708710969257094,21.99585123722032,52597.0,53177.46666666667
2022-05-18,Wednesday,May,2022,Q2,55986,45211,39662,16324,29.16,23776195,7030455,-18.460261283698166,-50.43420173680695,53732.142857142855,52816.46666666667
2022-05-19,Thursday,May,2022,Q2,67288,69465,34757,32531,48.35,23843483,7062986,20.187189654556505,99.2832639059054,55953.42857142857,53086.1
2022-05-20,Friday,May,2022,Q2,58642,55826,32630,26012,44.36,23902125,7088998,-12.849245036262037,-20.03934708431957,56380.57142857143,53342.9
2022-05-21,Saturday,May,2022,Q2,36226,34492,34101,2125,5.87,23938351,7091123,-38.22516285256301,-91.8306935260649,55979.0,52828.666666666664
2022-05-22,Sunday,May,2022,Q2,34135,29708,36014,-1879,-5.5,23972486,7089244,-5.772097388615915,-188.4235294117647,55337.142857142855,52327.96666666667
2022-05-23,Monday,May,2022,Q2,60762,57279,35366,25396,41.8,24033248,7114640,78.00498022557491,-1451.5699840340608,54528.57142857143,53067.76666666667
2022-05-24,Tuesday,May,2022,Q2,56114,52515,36690,19424,34.62,24089362,7134064,-7.649517790724469,-23.515514254213265,52736.142857142855,53598.433333333334
2022-05-25,Wednesday,May,2022,Q2,48224,53053,35601,12623,26.18,24137586,7146687,-14.060662223331077,-35.01338550247117,51627.28571428572,52985.833333333336
2022-05-26,Thursday,May,2022,Q2,47402,45363,39598,7804,16.46,24184988,7154491,-1.7045454545454586,-38.176344767487926,48786.42857142857,52266.23333333333
2022-05-27,Friday,May,2022,Q2,59172,51850,35462,23710,40.07,24244160,7178201,24.830175941943388,203.81855458739108,48862.142857142855,52002.1
2022-05-28,Saturday,May,2022,Q2,35482,35976,39722,-4240,-11.95,24279642,7173961,-40.035827756371255,-117.88274989455925,48755.857142857145,51379.5
2022-05-29,Sunday,May,2022,Q2,33796,38539,34137,-341,-1.01,24313438,7173620,-4.751705089904745,-91.95754716981132,48707.42857142857,50437.86666666667
2022-05-30,Monday,May,2022,Q2,47802,49774,38561,9241,19.33,24361240,7182861,41.44277429281571,-2809.9706744868035,46856.0,50852.26666666667
2022-05-31,Tuesday,May,2022,Q2,53354,59989,33233,20121,37.71,24414594,7202982,11.614576795949972,117.73617573855644,46461.71428571428,50414.8
2022-06-01,Wednesday,June,2022,Q2,72272,75879,32692,39580,54.77,24486866,7242562,35.457510214791775,96.70990507430048,49897.142857142855,51136.1
2022-06-02,Thursday,June,2022,Q2,70376,57384,36707,33669,47.84,24557242,7276231,-2.6234226256364845,-14.934310257705906,53179.142857142855,51931.86666666667
2022-06-03,Friday,June,2022,Q2,53135,46004,38295,14840,27.93,24610377,7291071,-24.498408548368765,-55.92384686209866,52316.71428571428,51433.3
2022-06-04,Saturday,June,2022,Q2,43686,40176,36746,6940,15.89,24654063,7298011,-17.783005551896114,-53.23450134770889,53488.71428571428,51251.566666666666
2022-06-05,Sunday,June,2022,Q2,36477,38893,35512,965,2.65,24690540,7298976,-16.501854140914705,-86.09510086455332,53871.71428571428,50800.6
2022-06-06,Monday,June,2022,Q2,68069,55658,34548,33521,49.25,24758609,7332497,86.60799956136745,3373.678756476684,56767.0,51878.666666666664
2022-06-07,Tuesday,June,2022,Q2,70679,67574,38820,31859,45.08,24829288,7364356,3.834344562135472,-4.958085975955373,59242.0,52878.2
2022-06-08,Wednesday,June,2022,Q2,56367,53132,38210,18157,32.21,24885655,7382513,-20.24929611341417,-43.008255124140746,56969.857142857145,52761.96666666667
2022-06-09,Thursday,June,2022,Q2,65905,54756,39220,26685,40.49,24951560,7409198,16.92124824808843,46.96811147215949,56331.142857142855,53317.666666666664
2022-06-10,Friday,June,2022,Q2,63667,57772,38336,25331,39.79,25015227,7434529,-3.3957969805022414,-5.074011617013308,57835.71428571428,53838.566666666666
2022-06-11,Saturday,June,2022,Q2,36483,40675,36722,-239,-0.66,25051710,7434290,-42.69715865361962,-100.94350795468003,56806.71428571428,53330.03333333333
2022-06-12,Sunday,June,2022,Q2,33407,26211,32968,439,1.31,25085117,7434729,-8.431324178384457,-283.68200836820085,56368.142857142855,52588.53333333333
2022-06-13,Monday,June,2022,Q2,59919,58452,39290,20629,34.43,25145036,7455358,79.36061304517017,4599.088838268793,55203.857142857145,53284.6
2022-06-14,Tuesday,June,2022,Q2,62966,64445,36040,26926,42.76,25208002,7482284,5.085198351107323,30.52498909302439,54102.0,54095.86666666667
2022-06-15,Wednesday,June,2022,Q2,71792,67007,33257,38535,53.68,25279794,7520819,14.017088587491667,43.1144618584268,56305.57142857143,54274.86666666667
2022-06-16,Thursday,June,2022,Q2,72201,77989,34206,37995,52.62,25351995,7558814,0.5697013594829548,-1.401323472168159,57205.0,54392.86666666667
2022-06-17,Friday,June,2022,Q2,67085,69900,39609,27476,40.96,25419080,7586290,-7.085774435257131,-27.68522173970259,57693.28571428572,54762.833333333336
2022-06-18,Saturday,June,2022,Q2,32368,28983,34223,-1855,-5.73,25451448,7584435,-51.75076395617499,-106.751346629786,57105.42857142857,53598.833333333336
2022-06-19,Sunday,June,2022,Q2,41179,43625,39090,2089,5.07,25492627,7586524,27.221329708353935,-212.6145552560647,58215.71428571428,53016.73333333333
2022-06-20,Monday,June,2022,Q2,112214,103546,37120,75094,66.92,25604841,7661618,172.50297481726125,3494.7343226424123,65686.42857142857,55549.666666666664
2022-06-21,Tuesday,June,2022,Q2,75052,85764,36904,38148,50.83,25679893,7699766,-33.11707986525746,-49.199669747250105,67413.0,56913.566666666666
2022-06-22,Wednesday,June,2022,Q2,62787,57363,34958,27829,44.32,25742680,7727595,-16.34200287800458,-27.049910873440286,66126.57142857143,56981.066666666666
2022-06-23,Thursday,June,2022,Q2,74690,76746,36350,38340,51.33,25817370,7765935,18.957746030229195,37.769952208128224,66482.14285714286,57600.26666666667
2022-06-24,Friday,June,2022,Q2,72290,80475,34917,37373,51.7,25889660,7803308,-3.2132815637970324,-2.5221700573813233,67225.71428571429,58402.46666666667
2022-06-25,Saturday,June,2022,Q2,37910,36227,35533,2377,6.27,25927570,7805685,-47.55844515147323,-93.63979343376234,68017.42857142857,58086.066666666666
2022-06-26,Sunday,June,2022,Q2,45460,50403,37770,7690,16.92,25973030,7813375,19.915589554207337,223.5170382835507,68629.0,57629.0
2022-06-27,Monday,June,2022,Q2,62636,72634,34777,27859,44.48,26035666,7841234,37.78266608007039,262.2756827048114,61546.42857142857,58534.13333333333
2022-06-28,Tuesday,June,2022,Q2,64723,59210,37970,26753,41.33,26100389,7867987,3.3319496775017665,-3.9699917441401333,60070.857142857145,59565.03333333333
2022-06-29,Wednesday,June,2022,Q2,73689,90333,37343,36346,49.32,26174078,7904333,13.852880737913885,35.857660823085254,61628.28571428572,60427.933333333334
2022-06-30,Thursday,June,2022,Q2,72647,73056,35295,37352,51.42,26246725,7941685,-1.414050943831513,2.7678424035657345,61336.42857142857,61071.03333333333
2022-07-01,Friday,July,2022,Q3,53579,44605,36806,16773,31.31,26300304,7958458,-26.247470645725222,-55.09477404155065,58663.42857142857,60447.933333333334
2022-07-02,Saturday,July,2022,Q3,33313,28757,36441,-3128,-9.39,26333617,7955330,-37.82452080106011,-118.64901925713944,58006.71428571428,59212.5
2022-07-03,Sunday,July,2022,Q3,32648,38462,39754,-7106,-21.77,26366265,7948224,-1.9962176927926012,127.17391304347827,56176.42857142857,58529.6
2022-07-04,Monday,July,2022,Q3,54223,60098,33187,21036,38.8,26420488,7969260,66.08368047047293,-396.03152265690966,54974.57142857143,58880.833333333336
2022-07-05,Tuesday,July,2022,Q3,58529,47950,34119,24410,41.71,26479017,7993670,7.941279530826395,16.03917094504659,54089.71428571428,59615.9
2022-07-06,Wednesday,July,2022,Q3,54608,62539,33540,21068,38.58,26533625,8014738,-6.69924311025304,-13.6911102007374,51363.857142857145,59167.2
2022-07-07,Thursday,July,2022,Q3,61454,57881,36469,24985,40.66,26595079,8039723,12.536624670377972,18.592177710271507,49764.857142857145,58859.7
2022-07-08,Friday,July,2022,Q3,73167,80934,59038,14129,19.31,26668246,8053852,19.059784554300773,-43.45007004202521,52563.142857142855,59419.7
2022-07-09,Saturday,July,2022,Q3,43672,38784,36249,7423,17.0,26711918,8061275,-40.31188923968456,-47.46266543987543,54043.0,58678.6
2022-07-10,Sunday,July,2022,Q3,31054,36463,36371,-5317,-17.12,26742972,8055958,-28.892654332295287,-171.62872154115587,53815.28571428572,57591.5
2022-07-11,Monday,July,2022,Q3,67975,60896,36153,31822,46.81,26810947,8087780,118.89289624525018,-698.4953921384239,55779.857142857145,58641.23333333333
2022-07-12,Tuesday,July,2022,Q3,73544,78744,34227,39317,53.46,26884491,8127097,8.192717910996695,23.552887939161593,57924.857142857145,59979.13333333333
2022-07-13,Wednesday,July,2022,Q3,51154,49317,37754,13400,26.2,26935645,8140497,-30.44435983900794,-65.91805071597527,57431.42857142857,59686.96666666667
